시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,공작물충돌,도로이탈,전도전복,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,공작물충돌,도로이탈,전도전복,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,기타,공작물충돌,도로이탈,전도전복,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,공작물충돌,도로이탈,전도전복,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,공작물충돌,도로이탈,전도전복
서울,강북구,사고[건],142,30,31,12,486,172,4,-,5,63,19,10,10,274,109,-,-,2,74,21,19,5,385,112,233,4,-,4,91,26,24,15,361,123,1,-,5,74,63,23,17,409,107,3,-,-
서울,강북구,사망[명],2,0,0,0,3,1,0,-,0,1,0,0,0,1,0,-,-,0,3,0,0,0,1,0,0,0,-,0,3,0,1,0,0,0,0,-,0,1,0,0,1,1,0,0,-,-
서울,강북구,부상[명],151,30,32,12,698,304,4,-,5,70,20,10,10,377,168,-,-,2,79,22,19,5,536,183,281,7,-,4,92,26,24,16,482,177,1,-,5,79,69,23,16,553,154,3,-,-
서울,금천구,사고[건],95,12,8,20,343,107,5,-,3,63,6,6,11,281,118,13,1,5,54,3,5,10,275,101,240,8,1,1,49,1,2,7,145,105,1,-,-,63,9,8,40,213,95,11,1,2
서울,금천구,사망[명],3,0,1,0,1,0,2,-,0,2,0,0,0,1,0,1,0,0,3,1,0,1,7,1,2,0,0,0,0,0,0,1,1,0,0,-,-,3,0,0,0,1,0,2,0,0
서울,금천구,부상[명],100,12,8,20,559,242,7,-,3,74,7,6,11,412,187,15,1,9,56,2,5,10,453,158,339,9,1,1,52,1,2,6,217,212,1,-,-,69,9,9,41,338,170,11,1,2
서울,용산구,사고[건],95,16,33,6,380,269,9,-,2,56,11,5,13,269,128,8,1,4,52,11,12,12,313,159,341,2,-,2,76,15,8,14,270,140,3,-,7,63,10,8,13,276,156,11,-,3
서울,용산구,사망[명],3,1,0,1,1,0,3,-,0,3,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,1,-,0,3,0,0,0,0,1,0,-,2,1,1,0,0,1,1,3,-,0
서울,용산구,부상[명],101,16,33,5,529,449,8,-,2,59,11,5,13,394,187,11,1,3,53,10,13,13,443,259,460,2,-,2,75,16,8,17,371,220,3,-,5,65,9,8,14,382,250,11,-,3
서울,성동구,사고[건],84,22,30,14,427,198,6,-,3,86,29,23,32,448,168,9,-,3,70,14,22,18,350,160,274,8,1,1,79,27,16,19,324,162,7,-,2,70,24,22,15,368,132,5,-,1
서울,성동구,사망[명],4,1,0,1,1,1,1,-,1,4,0,0,1,1,1,0,-,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,-,0,1,0,0,0,1,1,0,-,0
서울,성동구,부상[명],80,26,30,15,567,357,7,-,3,84,31,24,34,633,272,10,-,3,72,14,22,18,465,264,355,9,1,1,82,28,16,19,438,258,11,-,2,76,25,23,15,523,208,8,-,1
서울,동대문구,사고[건],143,45,14,22,532,253,8,-,4,130,33,11,22,511,172,10,-,2,93,32,7,28,439,176,433,2,-,5,127,52,14,34,450,184,8,-,7,109,57,12,44,527,217,2,-,3
서울,동대문구,사망[명],3,1,0,0,5,1,1,-,0,3,0,0,0,1,0,0,-,0,7,2,0,0,3,2,0,1,-,0,0,1,0,1,2,0,1,-,3,3,1,0,0,2,0,0,-,0
서울,동대문구,부상[명],150,46,14,24,724,398,7,-,4,135,35,11,24,693,291,10,-,2,87,30,7,28,536,260,525,1,-,5,136,52,14,35,586,268,9,-,4,114,57,12,45,683,320,2,-,3
서울,성북구,사고[건],204,54,12,20,680,228,11,2,10,148,36,13,21,557,180,8,1,8,101,33,8,27,479,190,279,11,1,7,106,41,9,25,466,186,6,-,2,91,23,12,23,474,174,3,1,4
서울,성북구,사망[명],2,1,0,0,1,0,1,0,1,1,0,0,0,0,2,1,0,0,3,0,0,1,5,1,2,2,0,1,2,1,0,0,2,0,1,-,0,1,1,0,1,3,0,0,0,0
서울,성북구,부상[명],213,53,12,20,983,374,13,2,9,157,37,13,22,751,283,10,1,8,102,34,11,26,641,284,331,12,1,6,108,40,11,25,627,273,6,-,2,94,22,12,22,632,258,4,1,4
서울,도봉구,사고[건],122,19,12,16,324,92,4,-,3,109,20,6,13,265,81,5,-,1,76,14,5,12,209,79,107,3,1,1,67,9,13,13,198,73,3,-,1,61,8,6,5,206,62,4,-,2
서울,도봉구,사망[명],0,0,0,0,0,0,0,-,0,2,1,0,0,3,0,0,-,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-,0,3,1,0,0,2,0,0,-,0
서울,도봉구,부상[명],133,19,13,19,475,172,4,-,3,110,19,7,13,389,148,7,-,1,86,14,5,14,280,126,148,6,1,1,75,11,13,17,278,131,4,-,1,61,7,6,5,275,104,5,-,2
서울,은평구,사고[건],128,37,28,30,444,129,6,-,6,115,27,8,14,401,133,7,-,3,91,16,14,39,395,101,87,5,1,8,95,41,15,17,324,106,2,-,7,97,43,25,30,373,109,1,-,2
서울,은평구,사망[명],2,0,0,0,3,0,0,-,0,8,1,0,0,2,0,1,-,0,2,0,0,0,3,1,1,1,1,0,1,1,0,0,1,0,0,-,2,3,1,0,0,0,0,0,-,0
서울,은평구,부상[명],139,37,30,32,662,197,8,-,7,115,27,8,15,723,216,12,-,4,95,18,14,39,631,190,96,6,0,8,97,40,15,17,471,204,2,-,5,98,43,27,34,546,166,2,-,2
서울,서대문구,사고[건],136,40,10,20,421,163,11,-,3,77,25,9,16,390,119,6,-,3,90,36,6,17,383,143,139,11,-,3,95,34,11,21,363,137,10,-,7,101,17,16,19,379,139,9,-,2
서울,서대문구,사망[명],4,2,0,0,4,0,0,-,1,1,1,0,0,0,0,0,-,0,3,0,0,0,4,0,0,1,-,0,1,0,0,1,1,1,0,-,0,0,0,0,0,2,0,1,-,0
서울,서대문구,부상[명],139,38,10,22,733,281,15,-,2,87,24,10,16,579,198,7,-,5,102,36,6,17,547,213,161,13,-,3,98,35,11,20,553,228,10,-,8,106,17,18,19,561,213,9,-,2
부산,중구,사고[건],38,29,10,5,140,29,4,-,1,32,11,1,1,126,24,1,-,-,30,14,3,10,129,23,20,3,-,3,42,20,4,9,158,29,2,-,1,29,20,2,10,135,37,2,-,2
부산,중구,사망[명],1,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,-,1,0,1,0,0,0,0,0,-,0,1,0,0,0,1,0,0,-,0,0,0,0,0,1,0,0,-,0
부산,중구,부상[명],38,29,10,6,205,47,7,-,1,35,11,1,1,177,40,1,-,-,30,14,2,10,205,33,26,4,-,3,43,20,4,10,249,37,2,-,1,31,20,2,10,219,59,2,-,2
부산,서구,사고[건],65,22,21,3,207,71,7,-,5,40,16,12,5,246,59,4,1,5,46,8,24,8,205,61,35,5,-,5,45,14,3,5,201,56,7,-,1,41,29,8,7,173,81,3,-,4
부산,서구,사망[명],0,1,0,0,1,0,0,-,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,-,0,1,0,1,0,0,1,0,-,0,1,0,0,0,1,0,0,-,0
부산,서구,부상[명],69,21,22,3,350,117,10,-,6,38,16,12,5,383,87,6,1,5,48,8,24,8,310,95,45,7,-,7,45,14,2,5,307,106,9,-,1,44,29,8,7,270,137,4,-,5
부산,동구,사고[건],32,23,4,13,172,97,4,-,1,26,23,6,7,147,68,5,-,4,29,21,11,5,217,59,71,2,-,5,51,36,6,16,215,77,3,-,-,53,33,3,5,191,58,2,-,2
부산,동구,사망[명],0,0,0,0,0,0,1,-,0,0,0,0,0,0,0,0,-,0,2,0,0,0,0,0,0,0,-,1,1,1,0,0,1,1,0,-,-,3,0,0,0,0,0,0,-,0
부산,동구,부상[명],32,23,5,14,281,160,5,-,1,27,25,6,8,237,135,7,-,4,27,22,11,5,303,81,105,2,-,4,55,37,7,16,336,130,3,-,-,54,38,3,5,334,122,2,-,2
부산,영도구,사고[건],55,8,19,1,130,35,7,-,3,36,1,17,3,114,29,6,-,3,31,5,10,8,116,36,86,5,-,4,29,11,2,9,82,50,-,1,4,24,6,6,3,60,32,2,-,-
부산,영도구,사망[명],1,1,0,0,0,0,0,-,0,1,0,1,0,0,0,0,-,0,0,0,0,0,0,0,1,0,-,1,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,1,-,-
부산,영도구,부상[명],55,8,19,1,209,62,9,-,3,39,1,16,4,171,45,6,-,3,32,5,10,10,178,58,119,6,-,4,31,11,2,11,114,98,-,1,4,26,7,6,3,85,62,1,-,-
부산,진구,사고[건],197,77,38,23,535,223,11,1,2,145,60,21,22,545,187,6,1,12,130,50,20,15,537,245,411,6,1,7,152,34,24,8,446,216,11,1,7,125,54,27,17,363,196,7,-,8
부산,진구,사망[명],5,4,0,0,1,0,0,0,0,2,2,0,0,2,1,0,0,0,0,1,1,0,3,0,1,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,1,1,-,0
부산,진구,부상[명],202,76,39,26,840,399,17,1,2,154,59,23,23,826,337,8,1,13,140,50,19,15,802,412,566,5,1,7,163,34,26,8,650,369,13,2,8,137,54,27,17,561,302,6,-,9
부산,동래구,사고[건],124,49,21,16,431,142,9,1,2,102,28,11,15,330,159,4,-,2,64,26,3,17,313,101,196,4,-,1,117,38,6,11,305,104,10,-,1,115,27,5,21,312,123,10,-,1
부산,동래구,사망[명],1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,-,0,0,0,0,0,1,0,1,0,-,1,2,1,0,0,1,0,2,-,0,3,0,1,0,1,0,2,-,0
부산,동래구,부상[명],128,49,21,16,635,254,12,1,2,106,28,11,15,476,228,4,-,2,66,28,3,18,427,140,274,16,-,0,116,38,6,12,420,162,12,-,1,120,28,4,21,445,179,8,-,1
부산,남구,사고[건],90,29,37,9,299,108,15,-,-,48,17,16,13,304,103,6,-,1,43,14,13,20,231,101,197,8,1,2,54,16,21,18,210,99,7,-,4,66,36,24,15,275,131,12,-,6
부산,남구,사망[명],1,0,0,0,2,0,1,-,-,2,0,0,0,0,0,0,-,0,0,0,0,0,0,1,1,0,0,0,2,0,0,3,1,0,0,-,1,2,1,0,1,1,0,1,-,0
부산,남구,부상[명],94,29,38,9,407,191,22,-,-,46,18,17,13,443,167,7,-,1,44,14,13,20,318,145,255,9,2,4,53,16,22,15,283,148,8,-,3,68,36,25,15,369,197,13,-,6
부산,북구,사고[건],81,11,8,5,156,69,9,-,1,49,9,5,7,157,75,9,-,-,45,13,8,3,138,65,210,5,-,2,35,8,3,1,78,66,1,-,-,45,7,3,3,123,60,3,-,-
부산,북구,사망[명],2,0,0,0,3,1,0,-,1,2,0,0,0,2,0,3,-,-,0,0,0,0,2,0,1,3,-,0,0,0,0,0,0,0,0,-,-,3,0,0,0,2,0,0,-,-
부산,북구,부상[명],84,12,9,5,228,121,12,-,1,48,9,6,7,210,128,12,-,-,48,14,8,3,189,109,289,3,-,2,35,8,3,1,117,118,1,-,-,44,7,3,3,194,94,5,-,-
부산,해운대구,사고[건],117,21,11,18,439,154,11,-,6,86,15,8,15,380,154,8,1,2,101,13,15,15,358,177,192,9,-,4,70,16,8,19,277,146,10,-,5,70,31,3,19,290,130,6,-,4
부산,해운대구,사망[명],2,0,0,1,3,0,2,-,2,3,0,0,0,4,0,1,0,0,2,1,0,0,3,1,0,1,-,0,1,1,1,0,0,0,0,-,0,0,1,0,1,0,0,1,-,0
부산,해운대구,부상[명],123,21,11,20,637,253,10,-,5,89,15,8,15,575,226,8,1,2,102,13,15,17,542,304,255,9,-,4,70,16,8,19,400,244,12,-,7,73,31,4,21,440,223,5,-,4
부산,사하구,사고[건],100,24,12,13,302,146,8,-,4,68,19,10,12,244,157,7,-,4,72,18,13,7,200,127,316,8,-,4,66,19,12,11,238,175,5,-,5,74,17,10,7,288,94,5,2,1
부산,사하구,사망[명],6,0,0,0,1,0,0,-,1,1,0,0,0,0,0,1,-,0,3,0,0,0,1,3,4,1,-,1,1,0,0,0,0,1,2,-,0,2,0,0,0,1,0,0,1,0
부산,사하구,부상[명],101,24,12,13,425,293,12,-,3,72,21,11,13,368,247,6,-,4,72,18,13,7,291,170,435,20,-,3,69,20,12,11,320,300,5,-,6,76,17,10,7,362,137,6,1,1
부산,금정구,사고[건],92,14,15,7,242,114,8,1,3,56,13,16,13,224,109,7,1,5,94,13,12,9,272,131,225,7,-,1,86,25,16,8,254,103,9,-,2,85,27,20,10,244,101,6,2,1
부산,금정구,사망[명],3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,2,0,-,0,0,1,2,0,2,1,2,-,0,2,0,0,0,1,2,0,1,0
부산,금정구,부상[명],92,15,15,7,355,212,7,2,4,60,14,17,13,368,205,12,1,5,99,13,12,10,412,244,333,10,-,2,92,25,14,8,377,178,9,-,3,85,29,20,10,348,202,9,1,1
부산,강서구,사고[건],21,6,1,7,256,136,11,-,3,19,4,-,1,251,132,13,-,4,19,5,3,1,282,159,259,5,-,2,25,7,3,4,300,170,15,1,-,26,4,3,2,317,175,9,-,2
부산,강서구,사망[명],0,0,0,0,3,2,1,-,0,0,1,-,0,4,0,3,-,0,1,0,0,0,7,2,1,0,-,0,0,1,0,0,4,3,6,0,-,0,0,0,0,5,3,1,-,0
부산,강서구,부상[명],22,6,1,7,339,238,14,-,3,20,3,-,1,339,202,10,-,4,19,5,3,1,431,292,376,8,-,2,25,7,4,4,417,320,13,2,-,27,4,4,2,446,297,10,-,2
부산,연제구,사고[건],90,36,16,11,336,143,7,-,3,71,20,21,5,231,111,3,-,3,65,15,8,10,195,120,163,-,1,-,49,10,6,9,172,97,2,1,-,70,4,8,9,175,112,3,-,2
부산,연제구,사망[명],1,0,0,0,0,0,0,-,0,3,3,0,0,1,0,0,-,0,0,0,0,0,0,0,1,-,0,-,2,0,0,0,0,1,0,0,-,1,0,0,0,1,0,0,-,0
부산,연제구,부상[명],95,36,17,11,499,236,9,-,3,74,18,21,5,363,162,5,-,4,71,15,8,10,277,198,227,-,4,-,50,10,6,10,223,143,2,1,-,70,4,8,9,261,169,4,-,3
부산,수영구,사고[건],70,21,26,9,253,103,4,1,-,40,16,31,11,220,93,6,-,1,32,11,18,18,202,87,194,1,-,1,52,22,25,12,212,111,3,-,1,57,31,26,12,264,103,5,-,2
