시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타_1,공작물충돌,도로이탈,전도전복,기타_2,횡단중_3,차도통행중_4,길가장자리구역통행중_5,보도통행중_6,기타_7,충돌_8,추돌_9,기타_10,공작물충돌_11,도로이탈_12,전도전복_13,기타_14,횡단중_16,차도통행중_17,길가장자리구역통행중_18,보도통행중_19,기타_20,충돌_21,추돌_22,기타_23,공작물충돌_24,도로이탈_25,전도전복_26,기타_27,횡단중_29,차도통행중_30,길가장자리구역통행중_31,보도통행중_32,기타_33,충돌_34,추돌_35,기타_36,공작물충돌_37,도로이탈_38,전도전복_39,기타_40,횡단중_42,차도통행중_43,길가장자리구역통행중_44,보도통행중_45,기타_46,충돌_47,추돌_48,기타_49,공작물충돌_50,도로이탈_51,전도전복_52,기타_53
경북,울릉군,사고[건],,1,-,-,3,8,,,2,1,3,-,3,-,-,-,1,6,1,,1,-,1,-,-,-,1,-,4,1,,2,2,-,-,1,2,1,1,1,1,7,,,-,1,1,-,,5,1,-,3,9,,,-,-,-,-
경북,울릉군,사망[명],,0,-,-,0,0,,,0,0,0,-,0,-,-,-,0,0,0,,0,-,1,-,-,-,0,-,0,0,,0,2,-,-,0,0,0,0,0,0,0,,,-,0,0,-,,0,0,-,0,1,,,-,-,-,-
경북,울릉군,부상[명],,1,-,-,3,46,,,2,7,3,-,3,-,-,-,1,9,3,,2,-,0,-,-,-,1,-,4,2,,2,0,-,-,1,2,1,1,1,5,11,,,-,1,1,-,,5,1,-,3,11,,,-,-,-,-
경북,경산시,사고[건],130,30,27,12,82,614,176,118,20,1,17,12,95,10,19,8,73,554,162,127,14,3,10,14,95,16,13,8,75,447,153,86,16,2,7,13,113,15,13,7,60,384,161,105,11,-,1,4,92,29,10,7,63,323,131,139,9,1,-,9
경북,경산시,사망[명],4,2,1,0,2,10,1,0,1,0,1,0,5,1,0,0,3,3,2,2,3,2,1,1,6,3,0,0,0,6,3,0,5,0,0,0,2,2,0,0,3,4,6,0,3,-,0,0,3,2,1,0,1,3,2,0,0,0,-,0
경북,경산시,부상[명],130,28,26,12,82,880,316,158,22,1,16,12,94,9,21,8,74,817,281,176,14,1,9,14,97,13,13,9,75,600,250,109,15,2,8,17,116,13,14,7,62,546,283,143,10,-,1,7,92,29,9,7,66,464,219,188,10,2,-,10
경남,진주시,사고[건],157,28,13,17,62,332,100,97,15,2,8,11,124,15,4,6,58,242,88,90,15,2,3,9,91,31,6,9,54,281,100,102,8,1,5,14,97,23,4,4,57,220,69,71,8,1,5,9,106,20,6,6,39,313,96,46,6,2,3,19
경남,진주시,사망[명],3,2,1,1,1,8,3,4,3,1,1,0,3,0,0,0,4,5,2,6,4,1,1,1,6,2,1,1,2,5,2,3,5,1,1,2,6,2,0,0,1,8,3,1,3,0,0,1,4,0,0,0,1,5,4,1,1,1,1,3
경남,진주시,부상[명],163,26,12,17,63,455,171,135,15,2,7,16,132,16,4,7,58,347,146,123,12,2,2,10,92,32,5,8,53,385,146,144,7,0,6,12,96,22,4,4,59,266,104,106,8,1,5,9,105,20,8,7,41,436,166,57,5,1,2,17
경남,통영시,사고[건],84,19,4,4,65,282,124,103,10,3,7,11,73,13,3,3,58,252,122,122,15,6,5,13,70,12,1,3,39,250,134,94,13,4,3,14,60,15,4,1,50,281,111,65,21,4,5,13,49,27,1,3,62,292,111,61,24,2,6,16
경남,통영시,사망[명],2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,0,3,0,0,1,3,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1
경남,통영시,부상[명],85,19,4,5,67,480,275,162,13,4,10,11,80,13,3,4,61,394,240,183,12,10,5,15,70,13,1,3,40,389,254,124,14,5,3,16,62,15,4,1,51,434,200,100,22,7,5,14,50,28,1,5,64,463,223,88,29,2,6,15
경남,김해시,사고[건],218,46,37,17,101,1044,353,398,52,9,21,22,173,27,21,9,82,969,383,346,51,2,19,23,169,42,30,16,80,926,366,282,35,-,25,20,188,46,30,24,68,942,315,235,39,3,13,21,192,56,21,15,77,946,350,238,31,8,20,14
경남,김해시,사망[명],8,1,0,0,3,6,5,2,6,1,0,0,9,0,0,0,0,7,7,4,3,0,2,1,8,2,0,0,1,6,5,3,3,-,2,1,8,1,2,0,1,4,2,2,1,2,0,0,4,0,0,0,2,3,1,1,0,3,3,0
경남,김해시,부상[명],225,46,37,19,106,1616,702,594,53,8,21,23,178,30,23,12,83,1437,648,488,54,2,21,23,172,43,32,17,85,1351,635,416,33,-,23,19,193,49,29,24,68,1319,554,335,50,1,16,22,203,59,21,16,82,1412,612,321,36,5,19,15
경남,밀양시,사고[건],62,8,14,10,30,297,75,13,9,1,5,8,49,3,12,6,26,294,75,16,8,-,4,3,47,4,10,3,22,279,66,17,20,1,7,2,43,5,8,2,23,254,73,39,20,3,6,9,44,3,2,2,20,228,82,35,13,4,11,11
경남,밀양시,사망[명],6,2,2,0,1,7,2,2,0,0,1,0,3,0,2,0,1,0,0,1,2,-,0,0,3,0,1,0,0,7,0,0,3,0,0,0,3,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,2,4,1,0,0,0,1
경남,밀양시,부상[명],57,6,13,10,31,444,127,15,9,1,6,9,49,3,10,6,26,472,129,19,6,-,11,3,45,4,11,3,25,420,114,26,25,1,7,2,47,5,8,2,24,348,167,48,25,8,6,10,48,3,2,2,21,345,171,54,15,7,13,12
경남,거제시,사고[건],72,36,4,4,64,443,137,200,18,3,9,21,53,18,5,4,74,279,112,225,20,1,8,21,51,29,3,2,79,327,115,159,22,3,6,12,61,28,11,10,59,220,74,201,14,5,4,11,50,26,10,7,66,225,111,164,21,3,13,13
경남,거제시,사망[명],1,2,0,0,3,5,2,3,1,0,0,0,2,1,0,0,2,1,2,4,1,0,0,1,1,2,0,0,2,2,0,2,5,0,0,1,3,1,0,0,2,3,0,2,2,1,0,0,3,1,0,0,3,1,1,2,1,0,1,2
경남,거제시,부상[명],74,34,4,4,68,636,305,310,21,4,18,22,54,17,5,4,78,413,197,285,24,1,9,21,57,33,4,2,82,439,208,213,23,3,6,12,62,27,11,10,64,333,125,266,14,5,4,12,50,26,10,7,71,327,178,230,38,4,13,13
경남,의령군,사고[건],8,6,6,2,4,78,17,7,8,3,2,2,4,2,3,1,4,71,19,7,6,1,7,1,7,2,2,2,10,78,15,12,6,1,5,2,4,8,2,-,6,45,17,9,8,7,2,4,3,5,1,-,7,45,15,8,9,2,3,4
경남,의령군,사망[명],0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,2,2,0,0,0,1,0,0,0,0,-,0,3,0,0,0,2,0,1,0,0,0,-,0,0,1,0,0,0,0,0
경남,의령군,부상[명],8,5,5,2,4,131,35,8,10,2,2,2,3,2,3,1,4,103,33,9,6,1,9,1,6,2,3,2,11,104,28,12,7,4,7,2,4,9,2,-,6,53,25,10,9,7,2,3,3,5,1,-,8,60,36,12,16,3,3,4
경남,함안군,사고[건],25,3,2,-,25,126,85,27,14,4,10,6,17,4,5,3,13,121,45,51,16,7,9,3,17,1,6,4,16,140,49,27,10,2,5,5,11,4,3,5,8,126,58,24,11,1,11,4,21,2,1,2,13,104,59,49,10,2,1,7
경남,함안군,사망[명],1,0,0,-,1,1,4,2,3,1,2,2,0,0,0,0,1,4,1,1,3,0,0,0,2,0,0,0,1,1,1,0,2,0,0,0,3,0,0,0,0,3,1,0,0,0,2,0,3,0,0,0,0,1,2,0,0,1,0,2
경남,함안군,부상[명],24,3,2,-,25,197,175,38,12,4,10,4,17,4,5,3,14,183,82,68,14,7,10,3,18,1,6,4,19,208,91,44,16,2,5,6,9,4,3,5,9,179,110,32,12,2,9,4,18,2,1,2,13,171,100,75,13,2,1,6
경남,창녕군,사고[건],14,2,-,-,32,123,41,96,12,1,4,8,5,-,1,-,32,130,37,86,10,6,8,16,5,2,2,1,26,74,37,85,16,1,5,9,4,3,3,3,15,93,36,50,8,-,5,7,12,10,1,2,12,94,40,40,6,2,2,6
경남,창녕군,사망[명],0,1,-,-,1,3,1,0,1,0,0,0,0,-,0,-,0,1,4,3,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,2,1,2,1,-,0,0,3,1,0,1,1,1,4,1,1,1,0,2
