사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-07,2호선,0218,종합운동장,8,3,1638,1006,6637,9701,18433,17780,25302,26891,18159,14182,13535,10811,11921,10377,14152,13323,12839,14812,16376,20067,16525,34243,19093,67810,23883,107274,20010,82541,18662,25590,44556,13325,93798,13408,75628,12170,6246,5865,422,1651,3,84,0,0,0,0
2024-07,2호선,0219,삼성(무역센터),211,5,4863,6248,7093,49382,16259,161460,21095,373919,22485,272619,24897,135469,39382,94735,51612,87324,66581,92809,85832,77737,113338,68106,147121,63939,260804,65438,335875,64334,167270,35753,131482,20251,110676,16142,67400,13024,17890,6728,2489,3707,1,1187,0,0,0,0
2024-07,2호선,0220,선릉,143,3,4874,6608,12407,49358,23891,138261,37258,316349,36577,236526,40402,113015,51663,71404,63052,67961,74341,73979,81455,59945,105201,53008,138505,52730,230688,61490,322697,65248,160090,40440,102704,25852,95030,22857,81779,19961,27511,11619,4787,4671,1,115,0,0,0,0
2024-07,2호선,0221,역삼,45,4,3831,7621,9086,48840,16884,180733,27623,417350,25592,338453,26416,130006,36434,68265,43737,61930,51329,68736,60692,52651,83927,46993,112820,44598,256208,54821,316517,61499,165289,38237,92943,23785,85593,20733,57317,18192,21498,10600,3741,3156,1,53,0,0,0,0
2024-07,2호선,0222,강남,115,0,8057,11875,18729,63922,42099,175071,67164,343130,55534,352090,56518,167170,74466,112643,93834,110291,110696,124949,122842,108840,147503,103380,179006,111849,277252,146724,351537,190377,227563,108650,175972,61340,198331,51416,174154,43676,76919,23155,13789,6795,0,44,0,0,0,0
2024-07,2호선,0223,교대(법원.검찰청),29,1,2643,7552,12191,26692,26845,63105,38667,175952,30498,142815,27915,73957,33095,61172,36988,55705,44706,59746,51861,52262,55346,46841,61771,49699,103934,67121,148076,76711,65635,42746,54841,26518,53502,24641,43915,23138,16349,11699,3102,3554,1,20,0,0,0,0
2024-07,2호선,0224,서초,2,0,2087,5144,9667,24426,20636,59108,31889,125175,29521,94460,22436,43402,29693,33733,26780,25987,33513,27369,33685,25166,42214,21420,49045,23424,79666,25899,104415,29428,46776,19792,32261,12852,30166,12482,18570,12047,6230,6344,953,1604,0,3,0,0,0,0
2024-07,2호선,0225,방배,19,1,2690,3213,9549,12726,23953,28704,32939,72313,25513,45654,18664,22792,18888,19092,22212,20977,22929,21362,23859,20917,26411,21216,31118,22144,43869,30417,61840,37122,27164,25651,20331,17142,19848,16225,14747,17593,5902,8975,1235,2707,0,1,0,0,0,0
2024-07,2호선,0226,사당,83,1,13696,4228,33575,32903,89947,48198,113092,73192,81267,49863,51892,43408,46596,54859,52951,53890,54571,53465,58455,53998,60849,63441,65598,85001,85446,131378,104404,187690,67675,120236,62849,73442,70936,67701,67476,66068,36637,38679,6486,11543,1,608,0,0,0,0
2024-07,2호선,0227,낙성대(강감찬),30,4,12495,2387,30043,10503,91122,19971,134967,45981,85557,33850,46606,26883,38604,25733,41318,27505,39950,29308,35857,31911,36769,38347,40941,44339,47334,64312,54757,110329,29521,88049,24098,58794,22169,55001,16333,54835,8431,32855,1570,9222,1,82,0,0,0,0
